"Survey","Date","StationName","StationNumber","Cultch","Quadrat","TotalVol","TotalWt","LiveSpat","Drills","Year","Month","Day","Period","season"
1,2015-10-14,"NFWF Hotel Bar",1,100,12,1.8,3.56,247,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,13,1.25,2.78,36,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,14,1.5,3.25,163,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",1,100,15,1.25,2.87,710,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,1,0.6,1.27,25,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,2,0.6,1.16,37,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,3,0.5,1.12,7,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,4,0.65,1.36,8,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,5,0.5,1.2,55,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,6,0.8,1.78,60,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,7,-999,NA,83,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,8,0.75,1.49,27,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,9,0.4,1.04,20,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,10,0.5,0.83,34,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,11,0.65,1.32,96,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,12,0.3,0.75,12,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,13,0.5,0.92,37,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,14,0.5,0.93,34,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",2,0,15,0.75,1.34,30,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,1,0.4,0.82,51,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,2,1,2.12,569,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,3,0.3,0.7,26,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,4,0.55,1.29,217,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,5,0.8,1.76,86,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,6,1,1.68,184,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,7,0.5,1.1,72,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,8,0.6,1.3,69,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,9,1,1.74,198,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,10,1.2,2.13,NA,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,11,1.2,2.71,268,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,12,0.75,1.71,80,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,13,0.9,1.91,198,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,14,1.5,3.24,271,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",3,300,15,2.75,5.75,1072,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,1,1,1.97,634,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,2,3.75,8.78,2021,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,3,3.5,7.25,2765,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,4,10,19.25,6088,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,5,8.75,19.4,5666,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,6,4.5,9.2,2602,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,7,3,6.3,1691,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,8,6,13.5,5147,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,9,6.5,13.5,4665,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,10,5,11.59,2290,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,11,6.25,13.2,3785,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,12,5.5,12.75,3894,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,13,4.25,9.3,2829,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,14,1.25,2.85,849,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",4,400,15,2.5,5.6,1817,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,1,1.4,3.04,708,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,2,5.75,12,3058,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,3,0.15,0.42,9,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,4,0.25,0.53,4,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,5,1,2.1,449,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,6,0.6,1.29,85,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,7,2,4.17,767,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,8,4,9.2,1276,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,9,6,13.5,2889,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,10,2.1,5.23,460,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,11,0.3,0.63,4,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,12,0.15,0.31,3,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,13,0.25,0.51,12,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,14,0.25,0.59,11,NA,2015,10,14,2,"Winter"
1,2015-10-14,"NFWF Hotel Bar",5,200,15,0.25,0.58,4,NA,2015,10,14,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,1,1.3,2.55,270,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,2,4.5,10.17,2186,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,3,0.25,0.56,111,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,4,0.75,1.71,410,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,5,3,6.6,2005,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,6,4.25,10.03,2488,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,7,3,6.61,1107,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,8,2.5,5.81,1691,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,9,5.25,11.75,2970,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,10,0.7,1.32,193,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,11,3.25,7.8,1393,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,12,0.35,0.7,51,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,13,0.6,1.11,81,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,14,1.9,4.63,706,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",1,300,15,0.35,0.73,116,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,1,4.6,9.8,1546,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,2,1.75,4.04,344,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,3,1.3,2.94,389,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,4,0.4,0.87,21,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,5,2.5,6.72,959,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,6,1.2,2.42,260,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,7,0.4,0.76,16,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,8,0.4,0.77,33,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,9,0.3,0.62,10,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,10,0.25,0.46,35,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,11,0.25,0.5,4,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,12,0.4,0.63,12,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,13,2,4.62,453,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,14,2,4.89,532,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",2,100,15,1.6,4.08,341,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,1,0.3,0.68,15,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,2,0.4,0.88,6,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,3,0.25,0.52,11,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,4,1.75,3.72,356,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,5,1.8,3.83,387,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,6,0.85,1.91,146,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,7,1.25,2.81,462,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,8,0.75,1.49,86,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,9,0.5,1.01,58,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,10,0.3,0.67,50,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,11,0.65,1.2,145,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,12,0.4,0.8,20,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,13,0.25,0.59,10,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,14,0.35,0.72,7,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",3,400,15,0.6,1.11,14,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,1,0.4,0.74,7,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,2,0.55,1.02,7,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,3,0.25,0.6,17,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,4,0.5,1.1,14,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,5,0.4,0.84,25,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,6,0.8,1.54,6,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,7,1,2.06,43,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,8,1.25,2.43,66,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,9,0.35,0.74,27,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,10,0.5,1,10,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,11,1,2.02,2,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,12,0.35,0.62,9,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,13,0.5,0.94,7,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,14,0.4,0.83,31,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",4,0,15,0.4,0.8,24,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,1,0.35,0.73,12,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,2,0.25,0.57,13,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,3,0.4,0.88,27,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,4,2.1,5,NA,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,5,0.75,1.67,68,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,6,0.25,0.7,35,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,7,0.35,0.7,58,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,8,0.4,0.78,40,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,9,0.5,0.95,20,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,10,2,4.69,625,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,11,3,7.07,1081,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,12,6.25,14,2833,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,13,0.35,0.78,47,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,14,1.6,3.69,598,NA,2015,10,29,2,"Winter"
1,2015-10-29,"NFWF Dry Bar",5,200,15,1.8,4.4,491,NA,2015,10,29,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,1,0.35,0.79,0,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,2,0.25,0.36,0,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,3,0.25,0.47,2,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,4,0.3,0.54,0,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,5,0.25,0.53,1,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,6,0.3,0.64,2,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,7,0.25,0.61,5,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,8,0.3,0.68,2,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,9,0.35,0.82,10,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,10,0.2,0.42,2,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,11,0.25,0.59,0,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,12,0.3,0.6,0,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,13,0.3,0.7,2,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,14,0.3,0.64,0,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",1,0,15,0.25,0.87,0,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,1,3.65,7.83,497,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,2,0.9,1.81,95,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,3,1.15,2.4,181,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,4,1,2.31,117,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,5,3.7,8,576,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,6,2.3,4.94,253,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,7,1.4,2.92,271,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,8,1.25,2.97,163,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,9,3.7,7.66,476,NA,2016,1,31,2,"Winter"
2,2016-01-31,"NFWF Bulkhead",2,200,10,2.25,4.94,429,NA,2016,1,31,2,"Winter"
